cliente_id,nome,provincia,tipo_conta,data_abertura,saldo_inicial_kz,conta_ativa
CLI0052,Renato Gomes 71,Uíge,Corrente,2018-08-18,42245.71,Sim
CLI0053,Rui Correia 5,Cabinda,Poupança,2020-05-30,68085.53,Sim
CLI0054,Teresa Ribeiro 6,Cabinda,Poupança,2021-10-28,128517.22,Sim
CLI0055,Osvaldo Monteiro 72,Uíge,Poupança,2019-04-30,432979.82,Sim
CLI0056,Simão Cardoso 4,Huambo,Empresarial,2022-05-22,465753.86,Sim
CLI0057,Conceição Dias 21,Benguela,Jovem,2022-11-22,24168.68,Não
CLI0058,Filipe Carvalho 26,Sumbe,Empresarial,2019-09-18,411165.51,Sim
CLI0059,Filipe Carvalho 4,Lubango,Jovem,2019-11-04,142908.52,Sim
CLI0060,Conceição Dias 45,Kuito,Jovem,2021-10-23,490669.1,Sim
CLI0061,Maria João 15,Malanje,Poupança,2021-04-04,481454.49,Sim
CLI0062,Carlos Mendes 14,Saurimo,Jovem,2019-12-09,365629.81,Sim
CLI0063,Dulce Moreira 78,Kuito,Corrente,2020-02-28,450254.84,Sim
CLI0064,Augusto Lima 6,Uíge,Corrente,2020-11-30,463159.71,Sim
CLI0065,Teresa Ribeiro 56,Benguela,Empresarial,2021-06-30,160388.24,Sim
CLI0066,Beatriz Santos 65,Malanje,Jovem,2019-10-31,204188.19,Sim
CLI0067,Olga Rodrigues 17,Lubango,Jovem,2021-09-23,470480.02,Sim
CLI0068,Sónia Castro 73,Malanje,Jovem,2021-01-27,417693.96,Sim
CLI0069,Arnaldo Vieira 27,Uíge,Empresarial,2020-08-10,223684.08,Sim
CLI0070,Edmundo Fonseca 61,Huambo,Corrente,2019-08-05,260148.74,Sim
CLI0071,Fátima Lopes 97,Lubango,Empresarial,2019-04-06,404248.63,Sim
CLI0072,Maria João 6,Lubango,Jovem,2021-06-05,425620.16,Sim
CLI0073,Isaura Pereira 54,Saurimo,Poupança,2022-01-11,349695.35,Não
CLI0074,Jacinta Ferreira 32,Huambo,Corrente,2022-03-18,430918.08,Sim
CLI0075,Dulce Moreira 29,Huambo,Jovem,2018-04-13,280915.87,Sim
CLI0076,Isaura Pereira 18,Sumbe,Empresarial,2022-03-27,446255.83,Não
CLI0077,Olga Rodrigues 58,Huambo,Jovem,2020-07-10,133299.82,Sim
CLI0078,Conceição Dias 99,Kuito,Jovem,2021-07-07,123426.7,Não
CLI0079,Pedro Neto 92,Malanje,Poupança,2019-07-11,171244.53,Sim
CLI0080,Manuel Costa 20,Lubango,Jovem,2021-11-22,80638.61,Sim
CLI0081,Pedro Neto 54,Uíge,Empresarial,2021-01-16,235632.53,Sim
CLI0082,Graça Alves 54,Uíge,Corrente,2022-10-21,440925.05,Não
CLI0083,Adalberto Cruz 1,Cabinda,Empresarial,2022-03-24,198043.39,Não
CLI0084,Rui Correia 96,Kuito,Poupança,2020-09-26,113613.71,Não
CLI0085,Natália Barros 4,Uíge,Empresarial,2021-10-01,341175.23,Não
CLI0086,Albano Teixeira 60,Huambo,Corrente,2020-03-17,297986.92,Sim
CLI0087,Fátima Lopes 83,Uíge,Poupança,2022-11-11,233540.73,Sim
CLI0088,Augusto Lima 49,Cabinda,Poupança,2020-07-20,166788.67,Não
CLI0089,Conceição Dias 97,Uíge,Empresarial,2022-09-06,45543.59,Sim
CLI0090,Rui Correia 7,Cabinda,Poupança,2021-08-24,38966.09,Sim
CLI0091,Maria João 32,Lubango,Corrente,2021-06-26,80429.26,Sim
CLI0092,Adalberto Cruz 86,Benguela,Poupança,2020-08-10,351235.16,Sim
CLI0093,Albano Teixeira 78,Saurimo,Corrente,2022-05-12,410554.08,Sim
CLI0094,João Baptista 75,Luanda,Empresarial,2021-03-25,340286.91,Não
CLI0095,Jacinta Ferreira 92,Lubango,Corrente,2021-04-27,346854.14,Sim
CLI0096,João Baptista 90,Malanje,Corrente,2022-06-19,492002.95,Sim
CLI0097,Osvaldo Monteiro 69,Uíge,Empresarial,2018-05-22,255450.59,Sim
CLI0098,António Silva 54,Sumbe,Corrente,2020-06-06,480589.85,Não
CLI0099,Célia Martins 56,Huambo,Empresarial,2021-06-15,405058.61,Não
CLI0100,Isaura Pereira 56,Saurimo,Empresarial,2019-10-23,426598.01,Sim
CLI0101,Conceição Dias 58,Lubango,Jovem,2021-03-13,307114.19,Não
CLI0102,Margarida Freitas 4,Sumbe,Empresarial,2019-01-08,246337.22,Sim
CLI0103,Augusto Lima 44,Malanje,Empresarial,2021-02-12,10024.8,Sim
CLI0104,Fátima Lopes 31,Uíge,Jovem,2021-02-11,380291.5,Não
CLI0105,Natália Barros 58,Luanda,Corrente,2019-08-26,114690.22,Sim
CLI0106,Beatriz Santos 85,Saurimo,Empresarial,2020-08-27,278969.11,Sim
CLI0107,Dulce Moreira 96,Kuito,Empresarial,2019-12-22,352913.2,Sim
CLI0108,Beatriz Santos 33,Lubango,Corrente,2022-01-17,100329.23,Sim
CLI0109,Rui Correia 98,Huambo,Poupança,2019-03-20,370609.3,Sim
CLI0110,Virgínia Henriques 98,Kuito,Empresarial,2018-07-25,417151.04,Sim
CLI0111,Filipe Carvalho 47,Huambo,Empresarial,2018-01-29,355469.15,Sim
CLI0112,Conceição Dias 6,Luanda,Empresarial,2021-11-29,472324.36,Não
CLI0113,João Baptista 2,Saurimo,Empresarial,2020-08-19,241963.53,Sim
CLI0114,Lurdes Pinto 7,Malanje,Jovem,2018-08-22,411947.24,Não
CLI0115,Natália Barros 10,Saurimo,Corrente,2018-11-07,78852.8,Sim
CLI0116,Fátima Lopes 32,Benguela,Jovem,2021-05-26,300082.79,Sim
CLI0117,Silvana Matos 49,Sumbe,Jovem,2019-09-01,430782.5,Não
CLI0118,Beatriz Santos 73,Saurimo,Corrente,2021-06-02,480253.84,Sim
CLI0119,Graça Alves 81,Lubango,Empresarial,2021-09-14,45187.8,Sim
CLI0120,Lurdes Pinto 71,Benguela,Poupança,2018-01-06,207216.2,Não
CLI0121,Arnaldo Vieira 5,Lubango,Empresarial,2021-12-18,144945.59,Não
CLI0122,Pedro Neto 88,Lubango,Empresarial,2022-06-02,396667.63,Sim
CLI0123,Dulce Moreira 15,Kuito,Poupança,2021-08-19,78749.75,Sim
CLI0124,Célia Martins 10,Luanda,Poupança,2022-06-12,157267.85,Sim
CLI0125,Renato Gomes 16,Sumbe,Empresarial,2021-12-04,204241.72,Sim
CLI0126,Edmundo Fonseca 70,Sumbe,Jovem,2018-06-14,301028.15,Não
CLI0127,Hélder Cunha 78,Malanje,Corrente,2018-07-07,118317.59,Sim
CLI0128,Conceição Dias 74,Luanda,Poupança,2020-08-21,261887.1,Não
CLI0129,Conceição Dias 24,Saurimo,Jovem,2021-07-24,408051.25,Sim
CLI0130,Adalberto Cruz 45,Uíge,Empresarial,2019-10-20,336716.09,Sim
CLI0131,Margarida Freitas 53,Sumbe,Empresarial,2021-09-18,472870.8,Sim
CLI0132,Isaura Pereira 12,Cabinda,Empresarial,2019-10-25,62381.19,Não
CLI0133,Edmundo Fonseca 1,Kuito,Jovem,2020-04-26,31831.02,Sim
CLI0134,Sónia Castro 97,Sumbe,Jovem,2022-04-06,30547.83,Sim
CLI0135,Olga Rodrigues 17,Malanje,Jovem,2021-12-01,244932.34,Sim
CLI0136,Dário Macedo 31,Huambo,Empresarial,2021-02-02,11768.86,Não
CLI0137,Fátima Lopes 29,Benguela,Jovem,2018-08-29,325616.3,Sim
CLI0138,Natália Barros 92,Malanje,Empresarial,2020-04-30,418188.35,Não
CLI0139,Esperança Rocha 59,Kuito,Poupança,2020-02-25,99352.13,Sim
CLI0140,Pedro Neto 36,Uíge,Empresarial,2022-06-02,256330.15,Sim
CLI0141,Arnaldo Vieira 93,Malanje,Jovem,2022-11-08,78554.73,Não
CLI0142,Osvaldo Monteiro 43,Kuito,Jovem,2020-07-21,466761.87,Sim
CLI0143,Esperança Rocha 74,Uíge,Poupança,2022-10-20,388894.52,Sim
CLI0144,Hélder Cunha 96,Sumbe,Jovem,2020-03-01,494264.93,Sim
CLI0145,Natália Barros 5,Huambo,Empresarial,2022-11-17,54680.48,Não
CLI0146,João Baptista 68,Sumbe,Corrente,2022-01-19,76356.93,Sim
CLI0147,Pedro Neto 61,Malanje,Empresarial,2021-06-30,347888.78,Sim
CLI0148,Margarida Freitas 87,Kuito,Jovem,2019-10-11,315265.59,Não
CLI0149,Rui Correia 5,Saurimo,Corrente,2019-04-26,317424.7,Sim
CLI0150,Filipe Carvalho 96,Benguela,Jovem,2018-07-21,381383.0,Sim
CLI0151,Renato Gomes 22,Malanje,Corrente,2018-04-05,165565.46,Sim
CLI0152,Arnaldo Vieira 46,Cabinda,Jovem,2018-10-26,125877.73,Não
CLI0153,Léandro Campos 88,Huambo,Poupança,2018-12-25,44089.33,Não
CLI0154,Sónia Castro 88,Lubango,Jovem,2021-04-09,75843.27,Não
CLI0155,Augusto Lima 59,Malanje,Corrente,2022-07-06,235300.36,Sim
CLI0156,Rui Correia 21,Benguela,Jovem,2019-12-09,493887.59,Sim
CLI0157,Dulce Moreira 89,Malanje,Jovem,2022-09-28,154550.23,Não
CLI0158,Adalberto Cruz 14,Lubango,Jovem,2021-03-17,182684.78,Sim
CLI0159,Arnaldo Vieira 3,Uíge,Empresarial,2018-01-17,285134.86,Sim
CLI0160,Dário Macedo 96,Sumbe,Empresarial,2022-05-08,400435.76,Sim
CLI0161,Filipe Carvalho 82,Lubango,Empresarial,2021-10-20,379010.78,Sim
CLI0162,João Baptista 81,Luanda,Empresarial,2022-06-04,223207.48,Sim
CLI0163,Manuel Costa 12,Malanje,Empresarial,2022-03-11,210674.03,Sim
CLI0164,Manuel Costa 70,Cabinda,Empresarial,2022-08-28,86449.49,Não
CLI0165,Arnaldo Vieira 96,Cabinda,Corrente,2020-08-17,481632.18,Sim
CLI0166,Filipe Carvalho 87,Uíge,Empresarial,2018-07-04,396387.57,Sim
CLI0167,Augusto Lima 69,Benguela,Jovem,2020-01-25,338050.05,Sim
CLI0168,Virgínia Henriques 49,Cabinda,Corrente,2021-10-14,120741.84,Sim
CLI0169,Sónia Castro 72,Cabinda,Poupança,2021-08-19,36292.44,Não
CLI0170,Beatriz Santos 84,Uíge,Corrente,2018-10-14,27446.67,Sim
CLI0171,Beatriz Santos 64,Benguela,Corrente,2019-04-26,444193.36,Sim
CLI0172,Gilberto Nunes 59,Cabinda,Jovem,2021-04-17,372423.16,Sim
CLI0173,Simão Cardoso 84,Benguela,Jovem,2021-06-14,207017.36,Sim
CLI0174,Carlos Mendes 89,Cabinda,Poupança,2020-06-27,225124.45,Sim
CLI0175,Teresa Ribeiro 13,Cabinda,Empresarial,2018-05-05,202079.12,Sim
CLI0176,Rosa Fernandes 59,Benguela,Poupança,2021-08-07,321548.99,Sim
CLI0177,Ana Luísa 43,Lubango,Poupança,2022-05-31,284466.1,Sim
CLI0178,Olga Rodrigues 27,Saurimo,Poupança,2022-07-24,435499.24,Sim
CLI0179,Célia Martins 77,Luanda,Empresarial,2022-10-25,492093.93,Sim
CLI0180,Rui Correia 33,Huambo,Corrente,2021-09-15,433891.7,Sim
CLI0181,António Silva 46,Lubango,Empresarial,2018-02-02,91251.87,Sim
CLI0182,Manuel Costa 95,Uíge,Corrente,2022-03-08,36461.23,Não
CLI0183,Teresa Ribeiro 66,Saurimo,Corrente,2020-07-14,254400.15,Sim
CLI0184,Silvana Matos 39,Sumbe,Corrente,2018-05-05,499300.44,Não
CLI0185,Dulce Moreira 88,Benguela,Jovem,2021-12-29,455301.91,Sim
CLI0186,Fátima Lopes 42,Saurimo,Poupança,2018-05-15,67464.84,Sim
CLI0187,Gilberto Nunes 77,Kuito,Empresarial,2020-07-18,255247.78,Não
CLI0188,João Baptista 90,Benguela,Poupança,2020-05-30,228519.68,Sim
CLI0189,Simão Cardoso 44,Sumbe,Jovem,2020-05-01,366158.19,Sim
CLI0190,Dulce Moreira 41,Malanje,Empresarial,2018-11-09,344976.41,Não
CLI0191,Pedro Neto 12,Benguela,Corrente,2020-06-03,52799.39,Sim
CLI0192,Manuel Costa 72,Luanda,Empresarial,2021-10-04,65504.49,Sim
CLI0193,Dulce Moreira 93,Luanda,Empresarial,2021-05-14,159662.21,Sim
CLI0194,Léandro Campos 65,Lubango,Poupança,2021-09-06,243683.75,Sim
CLI0195,Osvaldo Monteiro 72,Cabinda,Corrente,2022-04-11,142891.27,Sim
CLI0196,Dulce Moreira 72,Saurimo,Corrente,2021-06-01,464896.72,Sim
CLI0197,Maria João 24,Malanje,Empresarial,2019-11-27,178756.59,Sim
CLI0198,Célia Martins 73,Uíge,Corrente,2018-10-18,371779.68,Sim
CLI0199,Fátima Lopes 96,Kuito,Poupança,2020-02-10,212817.08,Sim
CLI0200,Albano Teixeira 48,Malanje,Empresarial,2022-05-10,470996.67,Sim
